                                 Task                                 |  utime   |  stime  |     rss     |     vmem     |   read    | write  |  d:cpu  | d:bio | d:swap | d:reclaim 
 57389 Thread 1 - main                                                |   551000 |   92000 |   166101049 |  15025069392 |  22132736 |      0 |  264887 |     0 |      0 |         0 
 57456 Thread 2 - Reference Handler                                   |     3000 |    1000 |     1127101 |     96943374 |         0 |      0 |   17894 |     0 |      0 |         0 
 57457 Thread 3 - Finalizer                                           |     5000 |       0 |     1033175 |    119166039 |      5120 |      0 |       0 |     0 |      0 |         0 
 57459 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |       0 |           0 |            0 |         0 |      0 |   64641 |     0 |      0 |         0 
 57460 Thread 5 - Signal Dispatcher                                   |        0 |       0 |           0 |            0 |         0 |      0 |   83394 |     0 |      0 |         0 
 57479 Thread 23 - RMI Scheduler(0)                                   |     1000 |       0 |     6322421 |     24433855 |      4096 |      0 |       0 |     0 |      0 |         0 
 57480 Thread 24 - RMI RenewClean-[10.233.72.74:35530]                |        0 |       0 |           0 |            0 |      1024 |      0 |       0 |     0 |      0 |         0 
 57481 Thread 25 - GC Daemon                                          |        0 |       0 |           0 |            0 |         0 |      0 |    3113 |     0 |      0 |         0 
 57482 Thread 26 - DecatonSubscriptionThread-decaton-benchmark        | 11093000 | 2657000 | 64959167347 | 336033314440 | 641515520 | 527360 |  420878 | 80973 |      0 |         0 
 57483 Thread 27 - kafka-coordinator-hear...hread | decaton-benchmark |    39000 |    7000 |   188814472 |   1124593390 |   1545216 |   1024 | 2502606 | 21195 |      0 |         0 
 57486 Thread 28 - PartitionProcessorThre...cc1-9689-36bb7a2233d4-2-0 | 10765000 | 1123000 | 57934109319 | 290607455732 |    161792 |      0 | 4460317 | 24859 |      0 |         0 
 57487 Thread 29 - PartitionProcessorThre...cc1-9689-36bb7a2233d4-1-0 | 11086000 | 1334000 | 61535395794 | 303619766724 |      5120 |      0 | 1572130 | 18762 |      0 |         0 
 57488 Thread 30 - PartitionProcessorThre...cc1-9689-36bb7a2233d4-0-0 | 10084000 | 1277000 | 55396531024 | 277737471861 |      1024 |      0 | 2532774 | 22000 |      0 |         0 
 57709 Thread 31 - process reaper                                     |        0 |       0 |           0 |            0 |         0 |      0 |       0 |     0 |      0 |         0 
 57714 Thread 32 - Attach Listener                                    |   405000 |   65000 |  2971414760 |  11551850584 |   5120000 | 175104 |   18026 |     0 |      0 |         0 
