                                 Task                                 |  utime  |  stime  |    rss     |     vmem     |   read    |  write  |  d:cpu  | d:bio  | d:swap | d:reclaim 
 51818 Thread 1 - main                                                |  719000 |  116000 |  149186869 |  19683948005 |  34377728 |    1024 |  129471 |      0 |      0 |         0 
 51885 Thread 2 - Reference Handler                                   |    6000 |    1000 |    3285367 |    172228285 |         0 |       0 |   10931 |      0 |      0 |         0 
 51886 Thread 3 - Finalizer                                           |    5000 |    1000 |    2221562 |    145428999 |     13312 |       0 |    9571 |      0 |      0 |         0 
 51887 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |       0 |    1000 |     135417 |     22652847 |         0 |       0 |    9238 |      0 |      0 |         0 
 51888 Thread 5 - Signal Dispatcher                                   |    1000 |       0 |     959863 |     24760093 |         0 |       0 |       0 |      0 |      0 |         0 
 51906 Thread 23 - RMI Scheduler(0)                                   |       0 |    2000 |    1918054 |     49391742 |      4096 |       0 |       0 |      0 |      0 |         0 
 51907 Thread 24 - RMI RenewClean-[10.233.72.74:35605]                |       0 |       0 |          0 |            0 |      1024 |       0 |       0 |      0 |      0 |         0 
 51908 Thread 25 - GC Daemon                                          |    1000 |       0 |     186375 |     24098800 |         0 |       0 |       0 |      0 |      0 |         0 
 51909 Thread 26 - ThreadPoolTaskScheduler-1                          |       0 |       0 |          0 |            0 |         0 |       0 |       0 |      0 |      0 |         0 
 51910 Thread 27 - consumer-0-C-1                                     | 6088000 | 1100000 | 6364788932 | 177592996866 | 209865728 | 4377600 | 3194130 | 116294 |      0 |         0 
 51911 Thread 28 - ThreadPoolTaskScheduler-1                          |       0 |       0 |          0 |            0 |         0 |       0 |       0 |      0 |      0 |         0 
 51912 Thread 29 - consumer-1-C-1                                     | 6376000 | 1138000 | 6585684466 | 185618697612 | 213231616 | 4469760 | 3538097 | 135282 |      0 |         0 
 51913 Thread 30 - ThreadPoolTaskScheduler-1                          |       0 |       0 |          0 |            0 |         0 |       0 |       0 |      0 |      0 |         0 
 51914 Thread 31 - consumer-2-C-1                                     | 6096000 | 1106000 | 6401830404 | 177946271105 | 211672064 | 4443136 | 2971775 |  56146 |      0 |         0 
 51916 Thread 34 - kafka-coordinator-hear...ton-benchmark-springkafka |   11000 |    5000 |   14563453 |    395293171 |    490496 |    1024 |       0 |  33550 |      0 |         0 
 51917 Thread 33 - kafka-coordinator-hear...ton-benchmark-springkafka |   17000 |    7000 |   21345167 |    592860593 |    556032 |    1024 |       0 |  15470 |      0 |         0 
 51918 Thread 32 - kafka-coordinator-hear...ton-benchmark-springkafka |   12000 |    5000 |   14998332 |    419987042 |    623616 |    1024 |  226758 |  20159 |      0 |         0 
 52065 Thread 35 - process reaper                                     |    2000 |       0 |    1949265 |     49709406 |         0 |       0 |       0 |      0 |      0 |         0 
 52071 Thread 36 - Attach Listener                                    |  418000 |   73000 |  472979557 |  12196606257 |   5121024 |  140288 |   46391 |      0 |      0 |         0 
