                                 Task                                 |  utime   |  stime  |     rss      |     vmem      |   read    | write  |  d:cpu  | d:bio  | d:swap | d:reclaim 
 54823 Thread 1 - main                                                |   649000 |  112000 |    197161428 |   17900360064 |  33909760 |   1024 |  257495 |      0 |      0 |         0 
 54890 Thread 2 - Reference Handler                                   |     5000 |    1000 |      1582382 |     147428183 |         0 |      0 |   22284 |      0 |      0 |         0 
 54891 Thread 3 - Finalizer                                           |     4000 |    2000 |      1494648 |     145744019 |     13312 |      0 |   24329 |      0 |      0 |         0 
 54892 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |       0 |            0 |             0 |         0 |      0 |    8765 |      0 |      0 |         0 
 54893 Thread 5 - Signal Dispatcher                                   |        0 |    1000 |      3861406 |      26318187 |         0 |      0 |       0 |      0 |      0 |         0 
 54911 Thread 23 - RMI Scheduler(0)                                   |     2000 |    2000 |     10487859 |     102730687 |      4096 |      0 |       0 |      0 |      0 |         0 
 54912 Thread 24 - RMI RenewClean-[10.233.72.74:43872]                |     1000 |       0 |       186625 |      24098800 |      1024 |      0 |       0 |      0 |      0 |         0 
 54913 Thread 25 - GC Daemon                                          |        0 |       0 |            0 |             0 |         0 |      0 |       0 |      0 |      0 |         0 
 54915 Thread 26 - broker-poll                                        |  3880000 | 1225000 |  15239115240 |  133529394581 | 116164608 |  63488 | 1368767 | 345955 |      0 |         0 
 54916 Thread 27 - control                                            | 46095000 | 1841000 | 189367045171 | 1262180708956 |  10896384 |      0 | 2312058 | 385641 |      0 |         0 
 54919 Thread 28 - kafka-coordinator-hear...nchmark-parallel-consumer |    44000 |   10000 |    191965749 |    1418633577 |   1015808 |   6144 | 1426752 | 115357 |      0 |         0 
 54921 Thread 29 - pool-1-thread-1                                    |   213000 |  128000 |   1324166464 |    8977003983 |      1024 |      0 | 1068818 |   5252 |      0 |         0 
 54922 Thread 30 - pool-1-thread-2                                    |   207000 |  158000 |   1337718069 |    9607471096 |      1024 |      0 | 1629015 |   3688 |      0 |         0 
 54923 Thread 31 - pool-1-thread-3                                    |   221000 |  142000 |   1442895643 |    9559426979 |         0 |      0 | 3500010 |      0 |      0 |         0 
 54924 Thread 32 - pool-1-thread-4                                    |   226000 |  145000 |   1417361948 |    9768438627 |         0 |      0 | 3584807 |      0 |      0 |         0 
 54925 Thread 33 - pool-1-thread-5                                    |   229000 |  126000 |   1378919542 |    9349650565 |         0 |      0 | 1618872 |      0 |      0 |         0 
 54926 Thread 34 - pool-1-thread-6                                    |   222000 |  154000 |   1435248569 |    9899661514 |      3072 |      0 | 1795696 |      0 |      0 |         0 
 54927 Thread 35 - pool-1-thread-7                                    |   238000 |  145000 |   1487135116 |   10085877533 |         0 |      0 | 2305346 |   6954 |      0 |         0 
 54928 Thread 36 - pool-1-thread-8                                    |   229000 |  142000 |   1375113362 |    9766206721 |         0 |      0 | 2706798 |      0 |      0 |         0 
 54929 Thread 37 - pool-1-thread-9                                    |   240000 |  136000 |   1435658530 |    9900983826 |         0 |      0 | 2125589 |  13612 |      0 |         0 
 54930 Thread 38 - pool-1-thread-10                                   |   198000 |  152000 |   1306361171 |    9214395194 |      1024 |      0 | 6070808 |      0 |      0 |         0 
 54931 Thread 39 - pool-1-thread-11                                   |   229000 |  145000 |   1391378331 |    9845872033 |         0 |      0 | 1539791 |      0 |      0 |         0 
 54932 Thread 40 - pool-1-thread-12                                   |   217000 |  130000 |   1372854952 |    9138981159 |         0 |      0 | 2093290 |   4929 |      0 |         0 
 54933 Thread 41 - pool-1-thread-13                                   |   219000 |  142000 |   1332196022 |    9502072854 |         0 |      0 | 1824071 |   5401 |      0 |         0 
 54934 Thread 42 - pool-1-thread-14                                   |   214000 |  150000 |   1380958456 |    9584662608 |         0 |      0 | 6731389 |   4899 |      0 |         0 
 54935 Thread 43 - pool-1-thread-15                                   |   212000 |  147000 |   1379812600 |    9453391049 |         0 |      0 | 8205502 |      0 |      0 |         0 
 54936 Thread 44 - pool-1-thread-16                                   |   215000 |  140000 |   1324545495 |    9346940393 |         0 |      0 | 1290760 |      0 |      0 |         0 
 54937 Thread 45 - pool-1-thread-17                                   |   204000 |  144000 |   1327206682 |    9163003217 |         0 |      0 | 1222523 |      0 |      0 |         0 
 54938 Thread 46 - pool-1-thread-18                                   |   219000 |  162000 |   1477862710 |   10032572494 |         0 |      0 | 1549305 |   6482 |      0 |         0 
 54939 Thread 47 - pool-1-thread-19                                   |   231000 |  154000 |   1505178397 |   10138627955 |         0 |      0 | 3087502 |      0 |      0 |         0 
 54940 Thread 48 - pool-1-thread-20                                   |   208000 |  127000 |   1248911878 |    8818277463 |         0 |      0 | 3977410 |      0 |      0 |         0 
 54941 Thread 49 - pool-1-thread-21                                   |   225000 |  167000 |   1533032507 |   10323757436 |         0 |      0 | 2048629 |      0 |      0 |         0 
 54942 Thread 50 - pool-1-thread-22                                   |   203000 |  157000 |   1371851823 |    9478849639 |         0 |      0 | 3203438 |      0 |      0 |         0 
 54943 Thread 51 - pool-1-thread-23                                   |   218000 |  129000 |   1397122542 |    9140256534 |         0 |      0 | 2602465 |   4733 |      0 |         0 
 54944 Thread 52 - pool-1-thread-24                                   |   204000 |  151000 |   1335338686 |    9347737502 |         0 |      0 | 1938299 |      0 |      0 |         0 
 54945 Thread 53 - pool-1-thread-25                                   |   186000 |  130000 |   1225901472 |    8321282123 |         0 |      0 | 3434250 |      0 |      0 |         0 
 54946 Thread 54 - pool-1-thread-26                                   |   211000 |  128000 |   1220165362 |    8923688518 |         0 |      0 | 1503834 |      0 |      0 |         0 
 54947 Thread 55 - pool-1-thread-27                                   |   190000 |  123000 |   1215010714 |    8243986174 |         0 |      0 | 2546786 |      0 |      0 |         0 
 54948 Thread 56 - pool-1-thread-28                                   |   203000 |  147000 |   1351919307 |    9217105366 |         0 |      0 | 5397162 |  11908 |      0 |         0 
 54949 Thread 57 - pool-1-thread-29                                   |   219000 |  150000 |   1393630573 |    9714814744 |         0 |      0 | 1431410 |      0 |      0 |         0 
 54950 Thread 58 - pool-1-thread-30                                   |   224000 |  143000 |   1433490046 |    9665335830 |         0 |      0 | 1280251 |   4821 |      0 |         0 
 55421 Thread 59 - process reaper                                     |        0 |    1000 |      3875683 |      26413386 |         0 |      0 |       0 |      0 |      0 |         0 
 55426 Thread 60 - Attach Listener                                    |   406000 |   68000 |   1865499655 |   12513083952 |   5125120 | 421888 |  175757 |      0 |      0 |         0 
